ПС;Дата отключения;Температура;Ветер;Снег ;Дождь ;Гроза;Отключение
Буинск;январь;-5;4;1;0;0;0
Камское устье;январь;-5;14;1;0;0;1
Свияжск;январь;-16;4;0;0;0;0
Камское устье;январь;-16;1;0;0;0;0
Чинчурино;январь;-22;2;0;0;0;0
Федоровская;январь;-8;4;0;0;0;0
Свияжск;январь;-2;3;0;0;0;0
Н.Услон;январь;-12;3;0;0;0;0
Кайбицы;январь;-11;4;0;0;0;0
Каратун;январь;-10;3;1;0;0;0
Интернат;январь;-8;3;1;0;0;0
Буинск;январь;-7;3;1;0;0;0
Буинск;январь;-12;5;1;0;0;0
Кайбицы;январь;-12;6;1;0;0;0
Водокачка;январь;-8;15;1;0;0;1
Кайбицы;январь;-7;15;1;0;0;1
Каратун;январь;-6;15;1;0;0;1
Интернат;январь;-6;15;1;0;0;1
Буинск;январь;-2;12;1;0;0;1
М.Цильна;январь;-6;3;1;0;0;0
Кайбицы;январь;-6;1;0;0;0;0
Каратун;январь;-11;4;1;0;0;0
Кайбицы;январь;-10;7;1;0;0;0
Каратун;январь;-8;4;1;0;0;0
Интернат;февраль;-2;6;1;0;0;0
Тетюши;февраль;-2;6;1;0;0;0
Чечкабы;февраль;-5;6;1;0;0;0
Нурлаты;февраль;-2;3;1;0;0;0
М.Цильна;февраль;-3;5;1;0;0;0
Красновидово;февраль;-3;5;1;0;0;0
Каратун;февраль;-3;2;1;0;0;0
Каратун;февраль;-5;2;0;0;0;0
Красновидово;февраль;-7;1;0;0;0;0
Чечкабы;февраль;-3;11;1;0;0;1
Чечкабы;февраль;-6;5;1;0;0;0
Чечкабы;февраль;-7;4;1;0;0;0
Дуслык;февраль;-4;4;1;0;0;0
Дуслык;февраль;-2;4;0;0;0;0
Тетюши;февраль;-8;2;1;0;0;0
Верхний Услон;февраль;-6;1;0;0;0;0
Бишбатман;февраль;-7;4;0;0;0;0
Бишбатман;февраль;-6;3;0;0;0;0
Тетюши;февраль;-7;3;0;0;0;0
М.Цильна;февраль;-7;14;1;0;0;1
Красновидово;февраль;-4;16;0;0;0;1
Красновидово;февраль;-4;4;1;0;0;0
Тетюши;февраль;1;13;1;0;0;1
Каратун;февраль;-2;13;1;0;0;1
