ПС;Дата отключения;Температура;Ветер;Снег ;Дождь ;Гроза;Отключение
Чинчурино;январь;-8;4;0;0;0;0
Макулово;январь;-9;4;0;0;0;0
Чинчурино;январь;-8;3;1;0;0;1
Макулово;январь;-8;5;1;0;0;1
Красновидово;январь;-8;5;1;0;0;1
М.Цильна;январь;-19;2;0;0;0;0
Апастово;январь;-18;6;0;0;0;0
Куралово;январь;-20;5;0;0;0;0
Чечкабы;январь;-16;3;0;0;0;0
Куралово;январь;-18;13;1;0;0;1
Подберезье;январь;-1;16;1;0;0;1
Раково;январь;-1;17;1;0;0;1
Апастово;январь;-1;17;1;0;0;1
Чечкабы;январь;-1;17;1;0;0;1
Тарханы;январь;-1;17;1;0;0;1
Чечкабы;январь;-5;17;0;0;0;1
М.Цильна;январь;-1;17;0;0;0;1
Ямбухтино;январь;-10;5;0;0;0;0
Подберезье;январь;-9;6;1;0;0;0
Федоровская;январь;-13;4;1;0;0;0
Печищи;январь;-20;4;0;0;0;0
Бишбатман;январь;-16;4;1;0;0;0
Нурлаты;январь;-16;4;0;0;0;0
Ямбухтино;февраль;-2;2;1;0;0;1
Апастово;февраль;-12;2;0;0;0;0
М.Цильна;февраль;-6;4;1;0;0;0
Чечкабы;февраль;-5;4;1;0;0;0
Тарханы;февраль;0;4;0;0;0;0
Раково;февраль;-4;3;0;0;0;0
Подберезье;февраль;-1;17;1;0;0;1
Апастово;февраль;-1;16;1;0;0;1
Федоровская;февраль;-1;22;1;0;0;1
Нурлаты;февраль;-1;22;1;0;0;1
Печищи;февраль;-1;22;1;0;0;1
Печищи;февраль;-1;22;1;0;0;1
Бишбатман;февраль;-1;22;1;0;0;1
Кайбицы;февраль;-1;16;1;0;0;1
Красновидово;февраль;-1;17;1;0;0;1
Дрожаное;февраль;-1;20;1;0;0;1
Камское устье;февраль;-1;22;1;0;0;1
М.Цильна;февраль;-1;22;1;0;0;1
Куралово;февраль;-1;22;1;0;0;1
Киять;февраль;-2;22;0;0;0;1
Куралово;февраль;-2;22;0;0;0;1
Камское устье;февраль;-4;4;0;0;0;0
М.Цильна;февраль;-3;6;1;0;0;0
Бишбатман;февраль;-1;4;1;0;0;1
Тарханы;февраль;-11;6;0;0;0;0
Дружба;февраль;-18;3;0;0;0;0
Дружба;февраль;-7;4;0;0;0;0
Апастово;февраль;-5;3;1;0;0;0
Дрожжаное;февраль;-4;3;0;0;0;0
Апастово;март;2;8;0;1;0;0
Восход;март;-7;5;0;0;0;0
Тетюши;март;-6;5;0;0;0;0
Майданы;март;-4;8;0;0;0;0
Дрожжаное;март;-2;14;1;0;0;1
Тарханы;март;-1;14;1;0;0;1
Тарханы;март;-1;14;1;0;0;1
Караталга;март;-1;2;0;0;0;0
Печищи;март;0;4;0;0;0;0
Ключищи;март;-1;4;1;0;0;0
Печищи;март;-2;4;1;0;0;0
Дружба;март;-1;3;1;0;0;1
Тарханы;март;-1;3;1;0;0;1
Дружба;март;-1;3;1;0;0;1
Каратун;март;-1;3;1;0;0;1
Дружба;март;-1;3;1;0;0;1
Дружба;март;-1;3;1;0;0;1
Тарханы;март;0;21;1;0;0;1
Кайбицы;март;1;21;1;0;0;1
Дружба;март;1;21;1;0;0;1
Дружба;март;1;21;1;0;0;1
Апастово;март;1;21;1;0;0;1
Восход;март;1;21;1;0;0;1
Тетюши;март;1;21;1;0;0;1
Майданы;март;1;18;1;0;0;1
Камское устьеК-Устье;март;1;18;1;0;0;1
Караталга;март;1;18;1;0;0;1
Караталга;март;1;18;1;0;0;1
Печищи;март;1;18;1;0;0;1
Ключищи;март;1;18;1;0;0;1
Печищи;март;1;18;1;0;0;1
Бишбатман;март;3;5;0;0;0;0
Майданы;март;2;6;0;0;0;0
Федоровская;март;0;4;1;0;0;0
Тарханы;март;0;4;0;0;0;0
Дрожжаное;апрель;2;8;0;0;0;0
Камское устье;апрель;2;8;0;0;0;0
Караталга;апрель;1;2;0;0;0;0
Бишбатман;апрель;6;2;0;0;0;0
Кайбицы;апрель;14;3;0;0;0;0
Кайбицы;апрель;3;6;0;0;0;0
Дрожжаное;апрель;5;12;0;0;0;1
Савино;апрель;2;3;0;0;0;0
Подберезье;апрель;5;2;0;0;0;0
Куралово;апрель;2;13;0;0;0;0
Камское устье;апрель;4;2;0;0;0;0
Федоровская;апрель;8;0;0;0;0;0
Майданы;апрель;8;2;0;0;0;0
Нурлаты;май;2;1;0;0;0;0
Бишбатман;май;10;20;0;0;0;1
Майданы;май;10;20;0;0;0;1
Федоровская;май;10;17;0;1;0;1
